ID_Cliente,Età,Durata_Abbonamento,Tariffa_Mensile,Dati_Consumati,Servizio_Clienti_Contatti,Churn
C1000,58,15,20,40,7,No
C1001,71,31,35,None,4,No
C1002,46,21,30,None,6,No
C1003,68,46,None,29,6,No
C1004,32,23,20,47,7,No
C1005,18,10,10,34,5,Si
C1006,59,28,35,44,9,No
C1007,69,35,20,49,None,No
C1008,42,11,20,48,8,Si
C1009,49,41,10,17,7,No
C1010,29,9,35,6,4,No
C1011,69,55,35,50,None,No
C1012,77,19,None,13,8,No
C1013,74,4,20,37,None,No
C1014,63,41,35,13,4,No
C1015,43,13,30,50,7,No
C1016,53,41,25,15,7,Si
C1017,45,36,20,47,3,No
C1018,18,21,None,43,0,No
C1019,69,57,10,33,1,No
C1020,77,1,15,17,1,No
C1021,24,45,10,None,4,No
C1022,37,26,20,12,7,No
C1023,31,49,35,41,3,No
C1024,60,2,25,35,None,No
C1025,75,37,30,10,8,No
C1026,30,51,35,24,None,No
C1027,41,52,20,21,8,No
C1028,74,14,30,9,4,No
C1029,57,46,25,17,3,No
C1030,31,40,10,47,8,No
C1031,30,52,30,20,4,No
C1032,36,8,30,None,6,No
C1033,24,21,10,27,2,Si
C1034,39,43,10,46,6,No
C1035,54,53,35,46,1,No
C1036,25,31,None,None,3,No
C1037,47,6,25,19,5,No
C1038,48,None,35,26,0,No
C1039,48,16,35,45,5,No
C1040,73,4,30,37,None,No
C1041,64,35,10,23,0,Si
C1042,37,18,20,7,5,No
C1043,20,10,20,6,9,No
C1044,62,3,30,22,2,No
C1045,78,None,None,46,2,No
C1046,27,22,20,40,9,No
C1047,47,27,25,33,None,No
C1048,47,34,20,50,9,No
C1049,49,58,35,32,3,Si
